corruption,level,model,version,embedding_dim,pairs,best_threshold,accuracy,eer,eer_threshold,fit_seconds,embed_seconds,score_seconds
brightness_up,0.45,pixel-cosine,0.1.0,12544,12,0.9289856851100922,0.75,0.5,0.9415356814861298,6.354999641189352e-06,0.000852659999509342,8.664499910082668e-05
brightness_up,0.45,dct-low-frequency,0.1.0,576,12,0.8795951008796692,0.75,0.5,0.8574146330356598,2.977001713588834e-06,0.0017651300004217774,1.794600029825233e-05
gaussian_noise,0.03,pixel-cosine,0.1.0,12544,12,0.9705526530742645,1.0,0.0,0.9705526530742645,1.1586998880375177e-05,0.0007420570000249427,0.0001129140000557527
gaussian_noise,0.03,dct-low-frequency,0.1.0,576,12,0.9954934120178223,0.9166666666666666,0.16666666666666666,0.9966057538986206,4.501998773775995e-06,0.002047119000053499,2.3616001271875575e-05
gaussian_noise,0.06,pixel-cosine,0.1.0,12544,12,0.9513578414916992,1.0,0.0,0.9513578414916992,9.88999818218872e-06,0.0006032119999872521,5.3348001529229805e-05
gaussian_noise,0.06,dct-low-frequency,0.1.0,576,12,0.9944757223129272,0.9166666666666666,0.16666666666666666,0.9957533180713654,3.3819997042883188e-06,0.002026214999204967,2.370799847994931e-05
gaussian_noise,0.1,pixel-cosine,0.1.0,12544,12,0.9122328460216522,1.0,0.0,0.9122328460216522,8.849001460475847e-06,0.0006637709993810859,4.863199865212664e-05
gaussian_noise,0.1,dct-low-frequency,0.1.0,576,12,0.9919739365577698,0.9166666666666666,0.16666666666666666,0.9933841824531555,2.3120010155253112e-06,0.001892571002827026,2.407700230833143e-05
blur,1.0,pixel-cosine,0.1.0,12544,12,0.9862828254699707,1.0,0.0,0.9862828254699707,6.377002137014642e-06,0.0007084119970386382,0.0001042160001816228
blur,1.0,dct-low-frequency,0.1.0,576,12,0.996726006269455,1.0,0.0,0.996726006269455,2.7510031941346824e-06,0.0018292229979124386,1.848600004450418e-05
blur,2.0,pixel-cosine,0.1.0,12544,12,0.9865774214267731,1.0,0.0,0.9865774214267731,5.5249984143301845e-06,0.0007713439990766346,5.769299968960695e-05
blur,2.0,dct-low-frequency,0.1.0,576,12,0.9957595765590668,0.9166666666666666,0.16666666666666666,0.9968827664852142,2.7420028345659375e-06,0.002034498000284657,2.197399953729473e-05
blur,3.0,pixel-cosine,0.1.0,12544,12,0.9856359362602234,1.0,0.0,0.9856359362602234,1.4616998669225723e-05,0.0006832799990661442,0.00010295699757989496
blur,3.0,dct-low-frequency,0.1.0,576,12,0.9949437975883484,0.9166666666666666,0.16666666666666666,0.996298611164093,3.6370001907926053e-06,0.0019706800012500025,3.6852998164249584e-05
jpeg,70,pixel-cosine,0.1.0,12544,12,0.9809715747833252,1.0,0.0,0.9809715747833252,1.002999852062203e-05,0.0006271909987844992,9.056300041265786e-05
jpeg,70,dct-low-frequency,0.1.0,576,12,0.9967949986457825,1.0,0.0,0.9967949986457825,2.4129985831677914e-06,0.001697271000011824,1.7790996935218573e-05
jpeg,45,pixel-cosine,0.1.0,12544,12,0.9829666614532471,1.0,0.0,0.9829666614532471,7.130001904442906e-06,0.0008312970021506771,5.9435998991830274e-05
jpeg,45,dct-low-frequency,0.1.0,576,12,0.9967649579048157,1.0,0.0,0.9967649579048157,2.9799994081258774e-06,0.002373622999584768,3.775600271183066e-05
jpeg,25,pixel-cosine,0.1.0,12544,12,0.98412024974823,1.0,0.0,0.98412024974823,8.773000445216894e-06,0.0011265209977864288,9.68610002018977e-05
jpeg,25,dct-low-frequency,0.1.0,576,12,0.9966627955436707,1.0,0.0,0.9966627955436707,4.356003046268597e-06,0.0027742000020225532,4.113500108360313e-05
downscale,0.75,pixel-cosine,0.1.0,12544,12,0.9857416749000549,1.0,0.0,0.9857416749000549,1.1708998499670997e-05,0.0007954219981911592,5.626799975289032e-05
downscale,0.75,dct-low-frequency,0.1.0,576,12,0.9969873428344727,1.0,0.0,0.9969873428344727,3.4010008675977588e-06,0.002485223001713166,2.973200025735423e-05
downscale,0.5,pixel-cosine,0.1.0,12544,12,0.986556887626648,1.0,0.0,0.986556887626648,1.6570000298088416e-05,0.0008378060010727495,8.660900130053051e-05
downscale,0.5,dct-low-frequency,0.1.0,576,12,0.9969848394393921,1.0,0.0,0.9969848394393921,4.793000698555261e-06,0.00307505700038746,5.865400089533068e-05
downscale,0.25,pixel-cosine,0.1.0,12544,12,0.9864301681518555,1.0,0.0,0.9864301681518555,7.86199962021783e-06,0.0006433199996536132,6.188500265125185e-05
downscale,0.25,dct-low-frequency,0.1.0,576,12,0.9954038262367249,0.9166666666666666,0.16666666666666666,0.9966952800750732,3.913002728950232e-06,0.0020660949994635303,2.4098997528199106e-05
lower_occlusion,0.15,pixel-cosine,0.1.0,12544,12,0.9463023543357849,0.9166666666666666,0.16666666666666666,0.9448801577091217,5.975001840852201e-06,0.0008829610014799982,0.0002610770025057718
